_date,total_clones,unique_clones
2020-11-20,1,1
2020-11-24,1,1
2020-12-17,1,1
2020-12-25,1,1
2021-02-01,1,1
2021-02-04,1,1
2021-03-02,1,1
2021-03-03,1,1
2021-03-21,2,2
2021-03-23,1,1
2021-04-02,1,1
2021-04-10,1,1
2021-04-13,3,2
2021-04-18,1,1
2021-04-19,1,1
2021-04-29,1,1
2021-05-09,1,1
2021-06-03,2,2
2021-06-08,1,1
2021-07-13,1,1
2021-07-20,1,1
2021-08-11,1,1
2021-08-12,1,1
2021-08-29,1,1
2021-09-18,2,2
2021-10-05,1,1
2021-10-08,2,2
2021-10-11,2,2
2021-10-13,2,1
2021-10-16,4,2
2021-10-20,1,1
2021-10-21,8,2
2021-10-22,4,1
2021-10-27,2,1
2021-10-28,2,1
2021-10-30,1,1
2021-11-01,1,1
2021-11-03,2,1
2021-11-10,1,1
2021-11-23,1,1
2021-11-25,1,1
2021-12-26,1,1
2022-01-09,1,1
2022-01-10,1,1
2022-01-25,1,1
2022-02-12,1,1
2022-03-09,1,1
2022-03-27,1,1
2022-04-02,1,1
2022-04-03,1,1
2022-04-06,1,1
2022-04-30,2,1
2022-05-17,1,1
2022-05-21,1,1
2022-06-03,1,1
2022-06-04,1,1
2022-06-16,1,1
2022-07-05,1,1
2022-07-12,1,1
2022-07-16,1,1
2022-07-20,1,1
2022-07-29,1,1
2022-08-07,1,1
2022-08-09,1,1
2022-09-20,1,1
2022-10-21,2,2
2022-11-09,3,3
2022-11-16,1,1
2022-11-17,1,1
2022-11-18,1,1
2022-11-21,1,1
2022-11-30,1,1
2022-12-05,1,1
2022-12-06,2,1
2022-12-07,4,2
2022-12-09,1,1
2023-01-04,2,1
2023-01-06,1,1
