_date,total_clones,unique_clones
2021-05-10,3,3
2021-05-11,2,2
2021-05-18,1,1
2021-07-10,1,1
2021-07-30,1,1
2021-09-12,1,1
2021-10-21,3,1
2021-10-23,325,2
2021-10-26,250,2
2021-11-02,1,1
2021-11-10,1,1
2021-11-16,3,3
2021-11-17,1,1
2022-01-10,1,1
2022-01-12,2,1
2022-01-13,2,1
2022-01-18,2,1
2022-01-25,2,1
2022-03-14,1,1
2022-03-16,8,2
2022-03-18,1,1
2022-03-20,1,1
2022-03-21,1,1
2022-03-22,2,1
2022-03-24,2,1
2022-03-28,1,1
2022-04-22,1,1
2022-04-23,2,1
2022-04-27,2,1
2022-04-28,2,1
2022-05-03,2,1
2022-05-08,1,1
2022-05-10,2,1
2022-05-17,1,1
2022-06-03,3,2
2022-06-25,1,1
2022-07-12,1,1
2022-07-13,2,1
2022-07-14,1,1
2022-08-03,1,1
2022-08-12,1,1
2022-08-18,1,1
2022-09-08,1,1
2022-09-24,1,1
2022-09-29,2,2
2022-09-30,1,1
2022-10-20,1,1
2022-10-21,1,1
2022-11-01,2,2
2022-11-06,2,2
2022-11-09,3,3
2022-11-12,2,1
