_date,total_clones,unique_clones
2020-11-22,2,1
2020-11-23,2,1
2020-11-24,1,1
2020-11-25,3,1
2020-11-28,1,1
2020-12-01,1,1
2020-12-10,1,1
2020-12-14,1,1
2020-12-25,1,1
2020-12-31,1,1
2021-01-05,1,1
2021-01-10,1,1
2021-02-02,1,1
2021-02-03,3,3
2021-02-04,1,1
2021-02-11,2,1
2021-02-12,6,1
2021-02-16,2,1
2021-02-17,6,1
2021-03-06,1,1
2021-03-15,1,1
2021-03-19,1,1
2021-03-20,1,1
2021-03-21,1,1
2021-03-22,7,2
2021-03-23,1,1
2021-03-26,1,1
2021-03-30,1,1
2021-03-31,1,1
2021-04-01,1,1
2021-04-02,2,2
2021-04-03,2,2
2021-04-04,1,1
2021-04-05,1,1
2021-04-06,1,1
2021-04-07,1,1
2021-04-08,1,1
2021-04-09,5,3
2021-04-10,2,2
2021-04-11,3,2
2021-04-13,2,1
2021-04-14,1,1
2021-04-17,1,1
2021-04-19,1,1
2021-04-22,2,2
2021-04-24,1,1
2021-04-30,1,1
2021-05-02,2,1
2021-05-03,3,2
2021-05-04,3,2
2021-05-05,1,1
2021-05-06,3,1
2021-05-08,1,1
2021-05-09,1,1
2021-05-11,1,1
2021-05-12,3,2
2021-05-13,3,1
2021-05-16,2,2
2021-05-18,3,2
2021-05-19,1,1
2021-05-20,1,1
2021-05-21,1,1
2021-05-22,1,1
