_date,total_clones,unique_clones
2020-11-20,1,1
2020-11-21,2,2
2020-11-22,2,2
2020-11-23,3,3
2020-11-25,3,3
2020-11-26,3,3
2020-11-30,1,1
2020-12-01,1,1
2020-12-02,1,1
2020-12-03,1,1
2020-12-04,8,8
2020-12-07,1,1
2020-12-08,2,2
2020-12-11,1,1
2020-12-13,1,1
2020-12-23,1,1
2020-12-24,1,1
2020-12-26,1,1
2021-01-06,2,1
2021-01-12,1,1
2021-01-14,1,1
2021-01-16,1,1
2021-01-18,1,1
2021-01-21,2,2
2021-01-22,2,2
2021-01-23,1,1
2021-01-27,1,1
2021-02-01,1,1
2021-02-02,3,3
2021-02-04,1,1
2021-02-12,7,2
2021-02-14,1,1
2021-02-17,6,1
2021-02-19,1,1
2021-02-25,4,3
2021-03-01,1,1
2021-03-07,1,1
2021-03-09,1,1
2021-03-16,1,1
2021-03-20,1,1
2021-03-24,1,1
2021-03-25,2,1
2021-03-26,2,2
2021-03-27,2,1
2021-03-30,16,8
2021-03-31,9,5
2021-04-05,1,1
2021-04-06,1,1
2021-04-08,1,1
2021-04-10,1,1
2021-04-13,3,2
2021-04-15,1,1
2021-04-17,2,2
2021-04-25,1,1
2021-04-28,1,1
2021-04-29,1,1
2021-05-02,1,1
2021-05-03,1,1
2021-05-13,2,2
2021-05-19,1,1
2021-06-03,1,1
2021-06-04,2,2
2021-06-06,1,1
2021-06-10,5,3
2021-06-11,13,5
2021-06-19,1,1
2021-06-21,1,1
2021-06-25,1,1
2021-06-26,1,1
2021-06-28,1,1
2021-06-29,1,1
2021-07-01,1,1
2021-07-06,1,1
2021-07-07,2,1
2021-07-09,3,3
2021-07-11,2,2
2021-07-12,1,1
2021-07-13,2,2
2021-07-16,1,1
2021-07-21,1,1
2021-07-22,1,1
2021-07-27,9,6
2021-07-31,1,1
2021-08-03,1,1
2021-08-12,1,1
2021-08-13,1,1
2021-08-19,2,2
2021-08-20,1,1
2021-08-27,1,1
2021-09-02,1,1
2021-09-07,1,1
2021-09-08,3,2
2021-09-09,3,2
2021-09-10,2,1
2021-09-13,2,1
2021-09-15,1,1
2021-09-19,1,1
2021-09-20,1,1
2021-09-23,3,2
2021-09-24,1,1
2021-09-25,1,1
2021-09-27,11,5
2021-09-29,3,3
2021-09-30,1,1
2021-10-02,1,1
2021-10-05,2,2
2021-10-12,1,1
2021-10-16,2,1
2021-10-20,1,1
2021-10-21,13,2
2021-10-22,3,1
2021-10-23,8,2
2021-10-24,6,2
2021-10-25,4,2
2021-10-28,1,1
2021-10-30,1,1
2021-11-01,1,1
2021-11-03,1,1
2021-11-04,2,1
2021-11-08,1,1
2021-11-09,1,1
2021-11-11,1,1
2021-11-12,2,1
2021-11-16,1,1
2021-11-23,2,2
2021-11-24,4,4
2021-11-25,2,2
2021-11-28,1,1
2021-11-29,2,2
2021-11-30,3,3
2021-12-01,2,2
2021-12-02,3,3
2021-12-03,1,1
2021-12-05,1,1
2021-12-07,2,2
2021-12-14,1,1
2021-12-15,1,1
2021-12-30,1,1
2022-01-06,2,1
2022-01-07,1,1
2022-01-09,1,1
2022-01-11,1,1
2022-01-14,1,1
2022-01-17,1,1
2022-01-18,1,1
2022-01-19,2,1
2022-01-20,6,3
2022-01-21,1,1
2022-01-23,1,1
2022-01-24,17,6
2022-01-25,24,8
2022-01-26,8,3
2022-01-27,12,5
2022-01-28,1,1
2022-01-29,2,2
2022-01-31,7,5
2022-02-01,6,3
2022-02-02,19,9
2022-02-03,4,3
2022-02-04,1,1
2022-02-07,2,1
2022-02-11,1,1
2022-02-12,1,1
2022-02-13,1,1
2022-02-15,2,2
2022-02-21,1,1
2022-02-28,1,1
2022-03-08,2,2
2022-03-09,1,1
2022-03-11,1,1
2022-03-14,1,1
2022-03-15,4,3
2022-03-22,1,1
2022-03-24,1,1
2022-03-25,2,2
2022-03-27,2,2
2022-03-28,2,1
2022-04-03,3,3
2022-04-04,2,1
2022-04-05,8,5
2022-04-06,1,1
2022-04-09,1,1
2022-04-10,1,1
2022-04-11,2,2
2022-04-13,1,1
2022-04-14,2,1
2022-04-15,1,1
2022-04-18,1,1
2022-04-19,1,1
2022-04-25,19,5
2022-04-26,2,2
2022-04-29,1,1
2022-04-30,1,1
2022-05-04,2,1
2022-05-05,1,1
2022-05-06,1,1
2022-05-07,1,1
2022-05-10,4,4
2022-05-11,1,1
2022-05-12,1,1
2022-05-16,1,1
2022-05-17,4,3
2022-05-21,1,1
2022-05-23,2,1
2022-05-26,2,1
2022-05-27,2,1
2022-05-30,2,1
2022-06-02,1,1
2022-06-05,1,1
2022-06-07,2,1
2022-06-10,1,1
2022-06-15,1,1
2022-06-17,3,1
2022-06-22,2,2
2022-06-24,1,1
2022-06-26,1,1
2022-06-30,2,1
2022-07-01,3,3
2022-07-03,1,1
2022-07-06,3,2
2022-07-07,3,3
2022-07-08,1,1
2022-07-09,1,1
2022-07-10,1,1
2022-07-11,1,1
2022-07-12,1,1
2022-07-13,1,1
2022-07-14,3,3
2022-07-15,1,1
2022-07-19,38,12
2022-07-20,1,1
2022-07-25,1,1
2022-07-27,2,1
2022-07-28,1,1
2022-07-29,4,3
2022-07-30,1,1
2022-08-01,1,1
2022-08-02,1,1
2022-08-04,1,1
2022-08-06,3,1
2022-08-09,1,1
2022-08-11,1,1
2022-08-14,1,1
