_date,total_clones,unique_clones
2022-07-19,1,1
2022-07-25,29,20
2022-07-26,2,2
2022-07-29,1,1
2022-08-19,1,1
2022-09-10,1,1
2022-09-13,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-10-21,1,1
2022-10-30,1,1
2022-11-09,4,4
2022-11-10,1,1
2022-11-11,1,1
2022-11-12,2,1
2022-11-24,1,1
2022-11-25,1,1
2022-11-28,1,1
2022-11-29,2,2
2022-11-30,1,1
2022-12-05,1,1
2022-12-06,2,1
2022-12-07,4,2
2022-12-10,1,1
2022-12-19,1,1
2022-12-21,1,1
2022-12-29,1,1
2023-01-03,4,2
2023-01-06,1,1
2023-01-12,1,1
2023-08-07,7,6
2023-08-08,2,2
2023-08-12,1,1
2023-08-18,1,1
