_date,total_clones,unique_clones
2021-05-17,1,1
2021-05-19,4,4
2021-05-20,6,6
2021-05-22,1,1
2021-05-25,1,1
2021-07-09,2,2
2021-07-22,1,1
2021-07-29,1,1
2021-08-08,1,1
2021-09-07,1,1
2021-09-12,1,1
2021-10-05,1,1
2021-10-21,5,1
2021-10-23,3,1
2021-11-03,1,1
2021-11-18,1,1
2021-11-25,1,1
2021-12-08,1,1
2022-01-09,1,1
2022-01-16,2,1
2022-01-24,1,1
2022-01-25,1,1
2022-03-07,1,1
2022-03-15,1,1
2022-03-26,1,1
2022-04-01,2,1
2022-04-19,1,1
2022-04-24,2,1
2022-04-27,2,1
2022-05-01,1,1
2022-05-03,2,1
2022-05-17,1,1
2022-06-01,1,1
2022-06-03,1,1
2022-06-10,1,1
2022-06-16,1,1
