_date,total_clones,unique_clones
2021-11-22,15,2
2021-11-23,10,3
2021-11-24,7,1
2021-11-26,7,3
2021-11-30,25,11
2021-12-01,9,4
2021-12-02,4,2
2021-12-05,1,1
2021-12-09,6,3
2021-12-14,4,3
2021-12-17,1,1
2021-12-21,1,1
2021-12-23,1,1
2021-12-30,1,1
2022-01-04,4,1
2022-01-05,9,2
2022-01-08,2,1
2022-01-09,1,1
2022-01-10,16,4
2022-01-11,15,6
2022-01-12,7,3
2022-01-13,2,2
2022-01-14,7,5
2022-01-15,26,5
2022-01-16,5,3
2022-01-17,1,1
2022-01-18,12,4
2022-01-20,1,1
2022-01-21,1,1
2022-01-24,2,1
2022-01-25,1,1
2022-01-31,7,5
2022-02-01,5,2
2022-02-02,21,10
2022-02-03,2,1
2022-02-04,15,1
2022-02-07,2,1
2022-02-08,5,4
2022-02-12,2,2
2022-02-14,1,1
2022-02-15,2,1
2022-02-16,19,1
2022-02-17,17,5
2022-02-18,3,1
2022-02-19,2,2
2022-02-20,4,2
2022-02-21,22,14
2022-02-22,8,4
2022-02-23,18,8
2022-02-24,6,3
2022-02-25,11,2
2022-02-26,1,1
2022-02-28,1,1
2022-03-03,30,7
2022-03-04,3,2
2022-03-09,7,3
2022-03-16,222,55
2022-03-17,72,21
2022-03-18,145,35
2022-03-21,6,4
2022-03-22,125,24
2022-03-24,1,1
2022-03-27,1,1
2022-03-30,6,1
2022-04-03,2,2
2022-04-04,2,1
2022-04-05,24,4
2022-04-08,18,8
2022-04-09,1,1
2022-04-12,1,1
2022-04-18,36,2
2022-04-19,10,2
2022-04-25,7,1
2022-04-26,54,2
2022-04-27,184,12
2022-04-28,2,1
2022-05-03,1,1
2022-05-10,6,3
2022-05-11,4,3
2022-05-13,7,2
2022-05-15,1,1
2022-05-16,4,1
2022-05-17,18,4
2022-05-20,2,2
2022-05-30,1,1
2022-06-10,1,1
2022-06-14,4,2
2022-06-15,1,1
2022-06-17,1,1
2022-06-26,1,1
2022-06-29,2,1
2022-07-01,4,2
2022-07-04,2,2
2022-07-08,1,1
2022-07-10,1,1
2022-07-11,5,3
2022-07-14,4,2
2022-07-15,1,1
2022-07-22,1,1
2022-07-23,1,1
2022-07-25,1,1
2022-07-26,1,1
2022-07-29,1,1
2022-07-30,1,1
2022-08-02,1,1
2022-08-03,3,1
2022-08-12,4,3
2022-08-13,1,1
2022-08-14,2,1
2022-08-30,3,2
2022-09-01,1,1
2022-09-04,1,1
2022-09-07,1,1
2022-09-08,1,1
2022-09-10,1,1
2022-09-15,2,1
2022-09-18,1,1
2022-09-28,1,1
2022-09-29,2,1
2022-10-05,2,1
2022-10-07,1,1
2022-10-10,1,1
2022-10-13,1,1
2022-10-14,1,1
2022-10-18,1,1
2022-10-20,4,2
2022-10-25,1,1
2022-10-27,1,1
2022-10-30,1,1
2022-11-01,1,1
2022-11-03,1,1
2022-11-05,1,1
