_date,total_clones,unique_clones
2021-03-01,19,14
2021-03-02,1,1
2021-03-03,3,3
2021-03-05,1,1
2021-03-08,2,2
2021-03-09,1,1
2021-04-03,1,1
2021-04-11,1,1
2021-04-13,1,1
2021-05-21,1,1
2021-06-05,7,1
2021-07-14,1,1
2021-07-20,1,1
2021-09-10,1,1
2021-09-18,1,1
2021-09-30,1,1
2021-10-05,1,1
2021-10-20,3,1
2021-10-22,104,5
2021-10-23,23,1
2021-10-24,47,3
2021-10-25,18,1
2021-10-26,18,2
2021-11-12,1,1
2021-11-17,1,1
2021-11-25,1,1
2021-12-31,1,1
2022-01-03,1,1
2022-01-05,1,1
2022-01-09,1,1
2022-01-10,2,1
2022-01-25,1,1
2022-02-02,1,1
2022-02-23,1,1
2022-02-28,1,1
2022-04-04,1,1
2022-04-06,1,1
2022-04-12,1,1
2022-04-14,1,1
2022-04-19,1,1
2022-05-03,2,1
2022-05-04,2,1
2022-05-05,2,1
2022-05-07,2,1
2022-05-16,2,1
2022-05-30,1,1
2022-06-08,1,1
2022-06-14,1,1
2022-07-17,1,1
2022-07-29,1,1
2022-08-18,1,1
2022-09-03,1,1
2022-09-21,1,1
2022-10-01,1,1
2022-10-11,1,1
2022-10-20,1,1
2022-10-21,2,2
2022-10-22,1,1
2022-11-09,3,3
2022-11-15,1,1
2022-11-21,1,1
2022-11-23,2,2
2022-11-24,2,2
2022-12-05,1,1
2022-12-06,2,1
2022-12-07,4,2
2022-12-08,1,1
2022-12-13,1,1
