_date,total_clones,unique_clones
2021-06-04,1,1
2021-06-09,6,5
2021-06-17,1,1
2021-06-20,1,1
2021-09-12,1,1
2021-09-24,1,1
2021-10-05,2,2
2021-10-21,3,1
2021-11-06,2,1
2021-11-07,1,1
2021-11-08,2,1
2021-11-09,1,1
2021-11-14,1,1
2021-11-18,1,1
2021-11-20,1,1
2021-11-21,1,1
2021-11-22,1,1
2021-11-23,1,1
2021-11-24,1,1
2021-11-25,2,2
2021-11-26,3,2
2021-11-27,1,1
2021-11-28,1,1
2021-11-29,1,1
2021-11-30,1,1
2021-12-01,1,1
2021-12-02,1,1
2021-12-03,1,1
2021-12-04,1,1
2021-12-05,1,1
2021-12-06,1,1
2021-12-07,1,1
2021-12-08,1,1
2021-12-09,1,1
2021-12-10,1,1
2021-12-11,2,2
2021-12-12,1,1
2021-12-13,1,1
2021-12-14,1,1
2021-12-15,1,1
2021-12-16,1,1
2021-12-17,1,1
2021-12-18,1,1
2021-12-19,1,1
2021-12-20,1,1
2021-12-21,1,1
2021-12-22,1,1
2021-12-23,1,1
2021-12-24,1,1
2021-12-25,1,1
2021-12-26,1,1
2021-12-27,1,1
2021-12-28,1,1
2021-12-29,1,1
2021-12-30,1,1
2021-12-31,1,1
2022-01-01,1,1
2022-01-02,1,1
