_date,total_clones,unique_clones
2022-06-23,1,1
2022-06-28,88,11
2022-06-29,128,6
2022-06-30,111,12
2022-07-01,66,9
2022-07-04,12,1
2022-07-06,4,1
2022-07-19,29,2
2022-07-21,51,2
2022-07-23,1,1
2022-07-30,3,1
2022-08-01,1,1
2022-08-04,1,1
2022-08-13,1,1
2022-09-23,1,1
2022-09-28,1,1
2022-10-04,1,1
2022-10-21,1,1
2022-10-26,2,1
2022-11-01,1,1
2022-11-03,21,3
2022-11-07,1,1
2022-11-08,2,1
2022-11-09,3,3
2022-11-10,11,1
2022-11-11,11,1
2022-11-14,1,1
2022-11-22,1,1
2022-11-24,2,2
2022-11-29,36,7
2022-11-30,11,1
2022-12-01,55,7
2022-12-04,53,5
2022-12-05,29,4
2022-12-06,22,4
2022-12-07,4,2
2022-12-08,1,1
2022-12-12,13,2
2022-12-13,2,2
2022-12-19,23,2
2022-12-20,1,1
2022-12-26,25,3
2022-12-29,4,2
2022-12-31,2,2
2023-01-03,4,2
2023-01-05,61,6
2023-01-09,12,2
2023-01-12,1,1
2023-08-08,1,1
2023-08-16,94,13
2023-08-17,3,3
2023-08-19,1,1
2023-08-21,1,1
2023-08-28,1,1
2023-08-30,2,2
