_date,total_clones,unique_clones
2020-11-20,2,1
2020-11-21,1,1
2020-11-23,2,2
2020-11-25,1,1
2020-11-26,1,1
2020-12-02,2,2
2020-12-06,1,1
2020-12-11,1,1
2021-01-27,1,1
2021-01-28,1,1
2021-02-08,1,1
2021-02-11,1,1
2021-02-18,1,1
2021-03-06,1,1
2021-03-11,1,1
2021-03-22,39,5
2021-03-23,39,4
2021-03-24,67,3
2021-04-11,1,1
2021-04-19,8,3
2021-04-23,7,2
2021-04-28,1,1
2021-05-09,1,1
2021-05-26,12,2
2021-05-29,1,1
2021-05-31,1,1
2021-07-14,1,1
2021-07-26,1,1
2021-07-29,1,1
2021-08-24,1,1
2021-08-28,1,1
2021-09-11,1,1
2021-09-22,1,1
2021-09-24,1,1
2021-10-05,1,1
2021-10-21,4,1
2021-11-23,1,1
2021-11-25,1,1
2021-12-01,1,1
2022-01-11,2,1
2022-01-25,1,1
2022-01-30,1,1
2022-02-15,1,1
2022-02-26,183,9
2022-02-27,92,5
2022-02-28,122,11
2022-03-01,1,1
2022-03-02,2,2
2022-03-06,38,6
2022-03-07,26,4
2022-03-08,1,1
2022-03-09,20,5
2022-03-10,2,2
2022-03-14,34,11
2022-03-15,1,1
2022-03-16,2,1
2022-03-21,1,1
2022-03-22,3,2
2022-03-24,1,1
2022-03-25,1,1
2022-04-03,1,1
2022-04-04,14,6
2022-04-08,2,2
2022-04-11,12,4
2022-04-12,1,1
2022-04-13,1,1
2022-04-14,2,1
2022-04-23,15,3
2022-04-24,38,7
2022-04-25,8,4
2022-05-01,6,3
2022-05-02,8,4
2022-05-03,1,1
2022-05-04,1,1
2022-05-06,2,2
2022-05-08,5,2
2022-05-09,20,7
2022-05-11,83,1
2022-05-12,1,1
2022-05-15,6,3
2022-05-16,10,6
2022-05-17,3,2
2022-05-29,10,3
2022-05-30,1,1
2022-05-31,1,1
2022-06-02,1,1
2022-06-05,6,3
2022-06-06,25,6
2022-06-09,2,2
2022-06-12,6,3
2022-06-13,13,5
2022-06-14,10,5
2022-06-15,1,1
2022-06-16,1,1
2022-06-17,1,1
2022-06-18,1,1
2022-06-19,5,2
2022-06-20,9,5
2022-06-21,1,1
2022-06-22,1,1
2022-06-23,1,1
2022-06-26,1,1
2022-06-29,2,1
2022-07-03,2,1
2022-07-04,5,2
2022-07-06,2,2
2022-07-07,1,1
2022-07-10,2,1
2022-07-11,6,3
2022-07-14,8,4
2022-07-15,1,1
2022-07-17,12,4
2022-07-18,13,4
2022-07-21,1,1
2022-07-23,1,1
2022-07-25,5,2
2022-07-27,1,1
2022-07-28,1,1
2022-07-29,1,1
2022-08-01,5,2
2022-08-02,1,1
2022-08-05,1,1
2022-08-07,6,3
2022-08-08,5,2
2022-08-09,1,1
2022-08-10,1,1
2022-08-11,2,2
2022-08-12,3,2
2022-08-14,2,1
2022-08-21,5,2
2022-08-25,2,1
2022-08-27,1,1
2022-08-30,2,1
2022-08-31,1,1
2022-09-01,1,1
2022-09-02,1,1
2022-09-05,9,3
2022-09-07,1,1
2022-09-11,2,1
2022-09-12,1,1
2022-09-15,2,1
2022-09-18,2,1
2022-09-19,5,2
2022-09-22,2,2
2022-09-23,1,1
2022-09-25,2,1
2022-09-26,5,2
2022-09-27,1,1
2022-09-28,1,1
2022-09-29,2,1
2022-09-30,1,1
2022-10-02,12,3
2022-10-04,1,1
2022-10-05,1,1
2022-10-08,2,2
2022-10-09,2,1
2022-10-10,5,2
2022-10-14,2,2
2022-10-16,3,2
2022-10-17,5,2
2022-10-21,3,3
2022-10-23,2,1
2022-10-25,2,1
2022-10-26,2,1
2022-10-31,5,2
2022-11-01,1,1
2022-11-02,1,1
2022-11-04,2,2
2022-11-05,1,1
2022-11-06,1,1
2022-11-07,1,1
2022-11-08,7,6
2022-11-09,3,3
2022-11-11,1,1
2022-11-13,2,1
2022-11-14,6,3
2022-11-16,1,1
2022-11-21,5,3
2022-11-27,1,1
2022-11-28,6,3
2022-11-29,1,1
2022-11-30,2,2
2022-12-01,2,2
2022-12-03,1,1
2022-12-05,10,5
2022-12-06,4,2
2022-12-07,4,2
2022-12-08,1,1
2022-12-09,1,1
2022-12-11,1,1
2022-12-12,7,4
2022-12-13,1,1
2022-12-14,1,1
2022-12-19,6,3
2022-12-21,1,1
2022-12-22,1,1
2022-12-23,1,1
2022-12-26,8,4
2022-12-27,1,1
2022-12-28,1,1
2022-12-29,5,3
2022-12-31,1,1
2023-01-02,6,3
2023-01-03,6,3
2023-01-04,1,1
2023-01-05,2,2
2023-01-06,1,1
2023-01-09,10,3
