_date,total_clones,unique_clones
2020-12-01,18,9
2020-12-02,41,23
2020-12-03,7,7
2020-12-04,1,1
2020-12-07,2,2
2020-12-08,6,5
2020-12-09,4,3
2020-12-11,1,1
2020-12-14,1,1
2020-12-19,1,1
2020-12-21,1,1
2020-12-22,1,1
2020-12-28,1,1
2021-01-04,1,1
2021-01-11,1,1
2021-01-18,1,1
2021-01-25,1,1
2021-02-01,1,1
2021-02-04,1,1
2021-02-08,1,1
2021-02-15,1,1
2021-02-22,1,1
2021-02-23,14,5
2021-02-24,1,1
2021-03-01,1,1
2021-03-08,1,1
2021-03-15,1,1
2021-03-21,1,1
2021-03-22,1,1
2021-03-29,2,2
2021-04-05,1,1
2021-04-06,9,2
2021-04-10,1,1
2021-04-12,1,1
2021-04-16,1,1
2021-04-19,1,1
2021-04-26,1,1
2021-05-03,1,1
2021-05-04,9,5
2021-05-10,1,1
2021-05-17,5,4
2021-05-20,3,1
2021-05-21,16,7
2021-05-24,1,1
2021-05-28,1,1
2021-05-31,1,1
2021-06-01,1,1
2021-06-07,1,1
2021-06-14,1,1
2021-06-21,1,1
2021-06-28,1,1
2021-07-05,1,1
2021-07-12,1,1
2021-07-13,11,5
2021-07-19,1,1
2021-07-21,1,1
2021-07-22,1,1
2021-07-26,1,1
2021-08-02,1,1
2021-08-09,1,1
2021-08-11,3,1
2021-08-16,1,1
2021-08-23,1,1
2021-08-30,1,1
2021-09-03,1,1
2021-09-06,1,1
2021-09-13,1,1
2021-09-18,1,1
2021-09-20,1,1
2021-09-27,1,1
2021-09-28,10,5
2021-09-29,1,1
2021-10-04,1,1
2021-10-05,2,2
2021-10-11,1,1
2021-10-18,1,1
2021-10-21,5,1
2021-10-25,4,1
2021-11-01,2,1
2021-11-08,2,1
2021-11-15,2,1
2021-11-18,1,1
2021-11-22,2,1
2021-11-25,1,1
2021-11-29,2,1
2021-12-06,2,1
2021-12-13,2,1
2021-12-20,2,1
2021-12-27,2,1
2022-01-02,2,1
2022-01-03,2,1
2022-01-10,2,1
2022-01-14,10,4
2022-01-17,2,1
2022-01-24,2,1
2022-01-25,1,1
2022-01-31,2,1
2022-02-07,2,1
2022-02-14,2,1
2022-02-21,2,1
2022-02-26,4,2
2022-02-27,4,2
2022-02-28,3,2
2022-03-10,2,1
2022-03-14,2,1
2022-03-20,2,1
2022-03-21,2,1
2022-03-28,2,1
2022-04-03,1,1
2022-04-04,2,1
2022-04-08,1,1
2022-04-11,2,1
2022-04-12,4,2
2022-04-18,2,1
2022-04-22,1,1
2022-04-25,2,1
2022-05-02,2,1
2022-05-09,2,1
2022-05-16,2,1
2022-05-17,1,1
2022-05-19,3,1
2022-05-28,1,1
2022-05-30,2,1
2022-06-03,6,3
2022-06-04,1,1
2022-06-06,2,1
2022-06-09,2,1
2022-06-10,1,1
2022-06-13,2,1
2022-06-16,4,2
2022-06-20,4,2
2022-06-22,1,1
2022-06-27,2,1
2022-07-04,4,2
2022-07-11,4,2
2022-07-13,1,1
2022-07-18,4,2
2022-07-22,3,1
2022-07-25,4,2
2022-07-28,1,1
2022-08-01,4,2
2022-08-05,1,1
2022-08-08,4,2
2022-08-15,4,2
2022-08-19,1,1
2022-08-22,4,2
2022-08-29,4,2
2022-09-05,4,2
2022-09-12,4,2
2022-09-19,4,2
2022-09-26,4,2
2022-10-01,1,1
2022-10-03,4,2
2022-10-10,4,2
2022-10-21,4,2
2022-10-24,8,4
2022-10-31,4,2
2022-11-06,1,1
2022-11-07,4,2
2022-11-13,1,1
2022-11-14,4,2
2022-11-21,4,2
2022-11-28,4,2
2022-12-05,4,2
2022-12-07,2,1
2022-12-12,4,2
2022-12-19,4,2
2022-12-26,2,1
2022-12-29,1,1
2023-01-02,4,2
2023-01-03,4,2
2023-01-06,1,1
2023-01-09,4,2
2023-01-12,1,1
2023-08-07,2,1
2023-08-10,1,1
2023-08-21,17,5
2023-08-28,3,2
2023-08-30,2,1
2023-09-04,2,1
2023-09-06,5,2
