_date,total_clones,unique_clones
2021-05-21,3,3
2021-05-23,6,1
2021-05-24,3,3
2021-05-25,1,1
2021-05-26,1,1
2021-05-31,1,1
2021-06-01,1,1
2021-06-02,1,1
2021-06-03,1,1
2021-06-07,1,1
2021-07-13,1,1
2021-07-30,1,1
2021-08-08,1,1
2021-09-01,2,2
2021-09-02,6,3
2021-09-07,1,1
2021-09-12,1,1
2021-09-20,1,1
2021-09-30,3,2
2021-10-01,1,1
2021-10-05,2,2
2021-10-12,1,1
2021-10-16,1,1
2021-10-20,1,1
2021-10-21,4,1
2021-10-22,3,1
2021-11-01,1,1
2021-11-03,2,1
2021-11-21,1,1
2021-11-25,1,1
2021-12-26,1,1
2022-01-09,1,1
2022-01-15,2,1
2022-01-16,2,1
2022-01-18,1,1
2022-01-25,1,1
2022-02-07,1,1
2022-02-12,1,1
2022-02-18,1,1
2022-02-28,1,1
2022-03-08,1,1
2022-03-13,2,2
2022-03-23,2,1
2022-03-26,1,1
2022-04-02,1,1
2022-04-03,1,1
2022-04-13,1,1
2022-05-03,5,3
2022-05-17,1,1
2022-05-20,1,1
2022-05-21,1,1
2022-06-04,1,1
2022-06-05,1,1
2022-06-30,6,4
2022-07-07,1,1
2022-07-18,9,3
2022-07-23,2,1
2022-07-26,1,1
2022-07-29,2,2
2022-08-02,1,1
2022-08-11,1,1
2022-08-23,1,1
2022-08-30,1,1
2022-09-07,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-23,1,1
2022-09-28,1,1
2022-10-07,1,1
2022-10-11,1,1
2022-10-19,1,1
2022-10-21,1,1
2022-10-22,1,1
