_date,total_clones,unique_clones
2021-10-11,9,1
2021-10-12,4,1
2021-10-15,32,8
2021-10-17,1,1
2021-10-21,9,2
2021-10-29,1,1
2021-11-08,2,1
2021-11-19,1,1
2021-11-26,1,1
2021-11-30,2,1
2021-12-01,1,1
2021-12-03,1,1
2021-12-10,1,1
2021-12-17,1,1
2022-01-06,10,3
2022-01-09,1,1
2022-01-10,1,1
2022-01-16,1,1
2022-01-20,2,2
2022-01-21,6,3
2022-01-25,8,4
2022-01-26,3,2
2022-01-28,3,1
2022-02-01,1,1
2022-02-03,6,2
2022-02-04,2,1
2022-02-26,5,2
2022-02-27,1,1
2022-02-28,1,1
2022-03-09,2,1
2022-04-12,2,1
2022-04-19,4,2
2022-04-20,2,1
2022-04-22,1,1
2022-05-05,1,1
2022-05-17,1,1
2022-05-19,2,1
2022-06-02,1,1
2022-06-03,1,1
2022-06-09,11,5
2022-06-10,2,2
2022-06-14,2,1
2022-06-15,3,2
2022-06-16,26,8
2022-06-17,1,1
2022-06-20,2,1
2022-06-21,1,1
2022-06-23,1,1
2022-06-27,5,3
2022-07-04,2,1
2022-07-07,1,1
2022-07-11,2,1
2022-07-18,2,1
2022-07-19,2,1
2022-07-25,2,1
2022-08-01,2,1
2022-08-03,1,1
2022-08-08,2,1
2022-08-15,2,1
2022-08-19,1,1
2022-08-22,2,1
2022-08-29,2,1
