_date,total_clones,unique_clones
2020-11-23,6,1
2020-11-24,3,1
2020-11-25,6,1
2020-12-03,1,1
2020-12-27,1,1
2021-02-04,1,1
2021-02-23,1,1
2021-03-21,2,2
2021-04-06,1,1
2021-04-10,1,1
2021-05-21,1,1
2021-06-23,1,1
2021-07-21,1,1
2021-07-23,1,1
2021-09-03,2,2
2021-10-05,1,1
2021-10-21,5,1
2021-10-23,7,1
2021-10-26,4,1
2021-11-25,1,1
2022-01-09,1,1
2022-01-11,2,1
2022-01-25,1,1
2022-02-27,1,1
2022-03-05,1,1
2022-03-15,3,3
2022-03-26,1,1
2022-04-06,1,1
2022-04-24,2,1
2022-04-25,1,1
2022-05-17,1,1
2022-05-28,1,1
2022-06-07,1,1
2022-06-10,1,1
