_date,total_clones,unique_clones
2021-06-07,1,1
2021-06-08,2,1
2021-06-10,10,1
2021-06-14,5,1
2021-06-15,1,1
2021-06-17,26,11
2021-06-18,3,1
2021-06-21,1,1
2021-07-01,1,1
2021-07-13,2,1
2021-07-14,5,3
2021-07-20,1,1
2021-08-27,1,1
2021-09-12,1,1
2021-09-13,1,1
2021-09-28,11,4
2021-09-29,13,5
2021-09-30,13,5
2021-10-01,2,1
2021-10-07,2,1
2021-10-14,3,3
2021-10-21,5,1
2021-10-23,295,4
2021-10-26,250,2
2021-11-06,1,1
2021-11-07,1,1
2021-11-14,1,1
2021-11-20,4,3
2021-12-09,1,1
2021-12-16,1,1
2022-01-02,1,1
2022-01-10,1,1
2022-01-17,2,1
2022-01-20,1,1
2022-01-25,1,1
2022-01-27,1,1
2022-02-09,1,1
2022-02-10,1,1
2022-02-12,1,1
2022-02-23,1,1
2022-02-26,5,2
2022-02-27,1,1
2022-03-09,2,1
2022-03-10,1,1
2022-03-15,1,1
2022-03-17,590,7
2022-03-19,2,1
2022-03-22,3,1
2022-03-24,2,1
2022-03-29,1,1
2022-04-11,1,1
2022-04-12,6,2
2022-04-21,2,1
2022-04-22,4,2
2022-04-24,1,1
2022-05-02,1,1
2022-05-13,1,1
2022-05-17,1,1
2022-05-19,2,1
2022-06-03,13,6
2022-06-11,1,1
2022-06-17,3,1
2022-06-18,1,1
2022-06-22,1,1
2022-07-09,1,1
2022-07-11,1,1
2022-07-12,2,1
2022-07-13,1,1
2022-07-14,2,2
2022-07-20,1,1
2022-07-22,7,3
2022-07-23,1,1
2022-07-24,1,1
2022-07-27,1,1
2022-08-01,1,1
2022-08-04,1,1
2022-08-06,3,1
2022-08-08,1,1
2022-08-12,2,2
2022-08-19,1,1
2022-08-24,1,1
2022-08-29,1,1
2022-09-01,1,1
2022-09-02,1,1
2022-09-09,1,1
2022-09-23,1,1
2022-09-25,1,1
2022-09-27,1,1
2022-09-30,1,1
2022-10-06,1,1
2022-10-08,1,1
2022-10-13,1,1
2022-10-17,1,1
2022-10-21,3,2
2022-10-24,1,1
2022-10-29,1,1
2022-11-01,1,1
2022-11-02,1,1
2022-11-04,1,1
2022-11-05,1,1
2022-11-09,3,3
2022-11-21,2,1
2022-11-25,2,2
2022-11-30,1,1
2022-12-04,4,3
