_date,total_views,unique_views
2020-11-20,6,1
2020-11-27,3,1
2020-11-30,1,1
2020-12-04,2,1
2020-12-15,1,1
2021-03-19,1,1
2021-04-22,1,1
2021-04-30,1,1
2021-05-05,2,1
2021-05-11,1,1
2021-05-22,1,1
2021-06-23,1,1
2021-07-23,3,1
2021-08-06,1,1
2021-08-15,1,1
2021-11-26,12,1
2021-11-30,2,1
2021-12-01,1,1
2021-12-02,2,1
2021-12-06,1,1
2021-12-08,3,1
2021-12-09,1,1
2021-12-16,1,1
2021-12-17,1,1
2022-01-04,1,1
2022-01-05,2,1
2022-01-06,1,1
2022-01-07,3,1
2022-01-11,2,1
2022-01-12,2,1
2022-01-13,1,1
2022-01-14,2,1
2022-01-19,1,1
2022-01-25,2,1
