_date,total_views,unique_views
2021-05-06,4,1
2021-05-07,11,2
2021-05-08,3,1
2021-05-09,1,1
2021-05-10,58,3
2021-05-11,32,9
2021-05-12,16,1
2021-05-13,17,2
2021-05-14,2,1
2021-05-17,2,1
2021-05-18,2,1
2021-05-20,4,2
2021-05-25,1,1
2021-05-26,2,1
2021-05-27,2,1
2021-05-28,1,1
2021-06-03,2,1
2021-06-10,1,1
2021-06-15,1,1
2021-06-23,1,1
2021-06-28,10,1
2021-07-06,3,1
2021-07-07,1,1
2021-07-08,3,1
2021-07-12,5,2
2021-07-20,1,1
2021-07-28,3,1
2021-07-29,3,2
2021-07-30,7,1
2021-08-04,1,1
2021-08-17,1,1
2021-08-21,1,1
2021-08-23,1,1
2021-08-25,5,2
2021-08-29,1,1
2021-08-30,5,2
2021-09-13,2,1
2021-09-14,2,2
2021-09-19,1,1
2021-09-24,4,1
2021-09-27,1,1
2021-09-28,1,1
2021-10-04,1,1
2021-10-06,1,1
2021-10-13,1,1
2021-10-14,1,1
2021-10-27,1,1
2021-11-07,1,1
2021-11-08,1,1
2021-11-16,23,1
2021-11-17,4,1
2021-11-19,2,1
2021-11-24,1,1
2021-11-25,5,2
2021-11-28,1,1
2021-11-30,2,1
2021-12-03,1,1
2021-12-04,1,1
2021-12-05,3,1
2021-12-06,2,1
2021-12-07,3,2
2021-12-08,2,2
2021-12-09,2,2
2021-12-10,1,1
2021-12-20,1,1
2021-12-21,5,1
2021-12-23,1,1
2021-12-30,1,1
2022-01-04,3,1
2022-01-07,7,2
2022-01-08,2,2
2022-01-09,1,1
2022-01-10,2,2
2022-01-11,4,2
2022-01-13,2,1
2022-01-14,2,1
2022-01-25,1,1
2022-01-27,1,1
2022-02-09,2,1
2022-02-13,1,1
2022-02-16,1,1
2022-02-25,2,2
