_date,total_views,unique_views
2022-07-19,122,4
2022-07-20,15,2
2022-07-24,14,1
2022-07-25,336,23
2022-07-26,38,15
2022-07-27,35,6
2022-07-28,6,2
2022-07-29,1,1
2022-07-30,1,1
2022-08-01,5,2
2022-08-02,18,4
2022-08-03,2,1
2022-08-04,1,1
2022-08-05,1,1
2022-08-07,1,1
2022-08-10,1,1
2022-08-11,4,1
2022-08-12,1,1
2022-08-17,1,1
2022-08-18,1,1
2022-08-31,1,1
2022-09-07,8,2
2022-09-09,29,3
2022-09-15,1,1
2022-10-08,15,1
2022-10-14,1,1
2022-10-29,1,1
2022-11-07,4,1
2022-11-08,2,1
2022-11-15,2,2
2022-11-22,2,1
2022-12-07,1,1
2022-12-18,1,1
2023-01-08,1,1
2023-01-11,2,2
2023-01-14,10,1
2023-08-19,1,1
