_date,total_views,unique_views
2020-11-12,1,1
2020-11-13,3,2
2020-11-14,6,3
2020-11-15,14,6
2020-11-16,39,6
2020-11-17,1,1
2020-11-18,1,1
2020-11-19,7,2
2020-11-20,6,4
2020-11-21,10,7
2020-11-22,2,1
2020-11-23,25,9
2020-11-24,8,4
2020-11-25,51,10
2020-11-26,52,6
2020-11-27,8,7
2020-11-28,8,3
2020-11-29,4,2
2020-11-30,11,5
2020-12-01,19,6
2020-12-02,21,10
2020-12-03,120,47
2020-12-04,105,16
2020-12-06,46,8
2020-12-07,95,22
2020-12-08,93,21
2020-12-09,13,6
2020-12-10,40,8
2020-12-11,24,6
2020-12-13,6,3
2020-12-14,3,3
2020-12-15,12,9
2020-12-16,28,11
2020-12-17,50,10
2020-12-18,26,4
2020-12-19,5,2
2020-12-21,7,4
2020-12-22,6,4
2020-12-23,3,2
2020-12-26,2,2
2020-12-27,2,2
2020-12-28,4,2
2020-12-30,11,4
2020-12-31,7,4
2021-01-01,7,3
2021-01-02,4,1
2021-01-03,22,2
2021-01-04,6,3
2021-01-05,11,5
2021-01-06,1,1
2021-01-07,1,1
2021-01-08,1,1
2021-01-10,5,2
2021-01-11,1,1
