_date,total_views,unique_views
2021-05-17,46,1
2021-05-18,35,1
2021-05-19,106,3
2021-05-20,80,14
2021-05-21,11,4
2021-05-22,1,1
2021-05-23,1,1
2021-05-25,3,2
2021-05-26,5,2
2021-05-27,16,16
2021-05-28,1,1
2021-06-14,1,1
2021-06-18,2,1
2021-07-09,3,1
2021-07-26,1,1
2021-07-29,19,3
2021-08-09,1,1
2021-08-10,1,1
2021-09-02,1,1
2021-09-13,2,1
2021-09-14,1,1
2021-09-15,1,1
2021-10-09,1,1
2021-10-13,3,2
2021-10-14,2,2
2021-10-21,6,1
2021-11-17,1,1
2021-11-18,4,1
2021-11-25,2,2
2021-11-30,2,1
2021-12-07,1,1
2021-12-13,2,1
2021-12-14,1,1
2021-12-17,2,1
2021-12-19,1,1
2021-12-27,1,1
2022-01-01,4,1
2022-01-04,1,1
2022-01-06,2,1
2022-01-11,1,1
2022-01-12,4,1
2022-01-14,2,1
2022-01-15,1,1
2022-01-18,1,1
2022-01-26,1,1
2022-02-01,1,1
2022-02-03,1,1
2022-02-07,1,1
2022-02-08,1,1
2022-02-12,1,1
2022-02-13,1,1
2022-02-14,1,1
2022-02-15,1,1
2022-02-16,2,2
2022-02-22,1,1
2022-02-24,1,1
2022-03-02,3,1
2022-03-05,1,1
2022-03-24,1,1
2022-03-25,1,1
2022-03-29,1,1
2022-03-31,3,3
2022-04-05,1,1
2022-04-06,1,1
2022-04-07,1,1
2022-04-12,2,2
2022-04-13,2,2
2022-04-14,1,1
2022-04-21,1,1
2022-05-06,6,1
2022-05-09,1,1
2022-05-10,1,1
2022-05-12,1,1
2022-05-14,1,1
2022-05-16,3,2
2022-05-18,1,1
2022-06-03,1,1
