_date,total_views,unique_views
2020-11-13,2,1
2020-11-16,3,1
2020-11-17,1,1
2020-11-20,2,1
2020-11-23,7,2
2020-11-25,31,2
2020-11-30,7,1
2020-12-01,27,2
2020-12-02,1,1
2020-12-03,3,1
2020-12-04,18,3
2020-12-07,4,1
2020-12-10,1,1
2020-12-11,1,1
2020-12-17,13,1
2020-12-22,4,1
2020-12-28,5,2
2021-01-08,4,2
2021-01-10,1,1
2021-01-13,1,1
2021-02-10,1,1
2021-02-24,1,1
2021-03-03,6,1
2021-03-15,2,1
2021-03-23,3,2
2021-03-24,4,2
2021-03-25,8,2
2021-03-26,9,1
2021-03-27,4,1
2021-03-28,2,2
2021-03-30,2,1
2021-04-02,78,3
2021-04-03,7,1
2021-04-05,33,2
2021-04-06,10,2
2021-04-15,5,1
2021-04-19,2,1
2021-04-23,1,1
2021-04-29,1,1
2021-04-30,2,1
2021-05-08,3,1
2021-05-12,16,1
2021-05-13,15,1
2021-05-14,3,1
2021-05-16,1,1
2021-05-17,1,1
2021-05-19,1,1
2021-05-29,2,1
2021-06-03,50,3
2021-06-04,5,3
2021-06-07,4,1
2021-06-08,17,1
2021-06-09,2,1
2021-06-12,7,1
2021-06-29,3,1
2021-07-15,2,1
2021-07-16,1,1
2021-07-30,1,1
2021-08-05,1,1
2021-08-07,2,1
2021-08-10,1,1
2021-09-17,2,2
2021-09-21,1,1
2021-09-28,1,1
2021-10-02,5,1
2021-10-05,1,1
2021-10-06,1,1
2021-10-08,5,3
2021-10-19,2,1
2021-10-23,1,1
