_date,total_views,unique_views
2021-11-22,67,2
2021-11-23,148,9
2021-11-24,10,2
2021-11-25,15,2
2021-11-26,93,5
2021-11-27,1,1
2021-11-29,35,4
2021-11-30,270,16
2021-12-01,172,12
2021-12-02,47,10
2021-12-03,18,4
2021-12-04,4,1
2021-12-07,17,4
2021-12-09,29,6
2021-12-13,11,2
2021-12-14,3,2
2021-12-16,17,3
2021-12-17,7,2
2021-12-20,2,1
2021-12-21,12,4
2021-12-26,3,1
2021-12-31,2,2
2022-01-02,2,2
2022-01-04,7,3
2022-01-05,14,2
2022-01-06,4,1
2022-01-07,11,10
2022-01-08,1,1
2022-01-10,46,9
2022-01-11,20,4
2022-01-12,29,4
2022-01-13,21,13
2022-01-14,47,4
2022-01-15,71,3
2022-01-16,50,5
2022-01-17,12,6
2022-01-18,35,5
2022-01-19,5,2
2022-01-20,4,3
2022-01-21,14,3
2022-01-24,36,8
2022-01-25,35,3
2022-01-26,4,3
2022-01-27,2,1
2022-01-30,4,1
2022-01-31,127,11
2022-02-01,34,5
2022-02-02,149,15
2022-02-03,43,13
2022-02-04,81,9
2022-02-07,31,7
2022-02-08,82,15
2022-02-09,7,3
2022-02-10,43,4
2022-02-11,2,2
2022-02-13,4,2
2022-02-14,16,2
2022-02-15,7,2
2022-02-16,9,4
2022-02-17,40,10
2022-02-18,30,4
2022-02-19,10,5
2022-02-20,18,1
2022-02-21,56,4
2022-02-22,13,6
2022-02-23,36,5
2022-02-24,30,1
2022-02-25,34,4
2022-02-28,9,4
2022-03-01,4,3
2022-03-02,63,9
2022-03-03,68,5
2022-03-04,27,5
2022-03-05,9,2
2022-03-06,2,2
2022-03-07,6,3
2022-03-08,17,4
2022-03-09,21,7
2022-03-10,7,4
2022-03-11,1,1
2022-03-15,14,8
2022-03-16,74,11
2022-03-17,146,13
2022-03-18,11,4
2022-03-20,1,1
2022-03-21,85,14
2022-03-22,40,7
2022-03-23,110,12
2022-03-24,14,7
2022-03-25,8,5
2022-03-26,4,3
2022-03-27,2,2
2022-03-28,1,1
2022-03-29,12,5
2022-03-30,3,3
2022-03-31,9,5
2022-04-01,25,9
2022-04-02,4,2
2022-04-03,3,1
2022-04-04,22,3
2022-04-05,1,1
2022-04-06,10,3
2022-04-07,3,3
2022-04-08,126,9
2022-04-09,4,1
2022-04-10,1,1
2022-04-11,3,3
2022-04-12,10,5
2022-04-13,27,7
2022-04-14,10,4
2022-04-16,1,1
2022-04-17,2,1
2022-04-18,148,4
2022-04-19,79,11
2022-04-20,49,13
2022-04-21,71,12
2022-04-22,9,3
2022-04-25,86,10
2022-04-26,440,17
2022-04-27,353,11
2022-04-28,15,4
2022-04-29,13,2
2022-05-01,5,2
2022-05-03,21,6
2022-05-04,17,4
2022-05-05,11,1
2022-05-06,4,1
2022-05-08,1,1
