_date,total_views,unique_views
2022-05-04,63,3
2022-05-05,189,3
2022-05-06,13,3
2022-05-12,36,2
2022-05-14,21,1
2022-05-15,6,1
2022-05-16,19,2
2022-05-20,2,2
2022-05-22,1,1
2022-07-05,1,1
2022-07-06,17,1
2022-07-18,22,2
2022-07-19,12,1
2022-07-20,3,1
2022-07-21,36,1
2022-08-04,3,2
2022-08-13,23,2
2022-08-14,15,1
2022-08-15,9,1
2022-08-16,27,10
2022-08-17,4,2
2022-08-18,5,2
2022-08-20,9,1
2022-08-21,3,1
2022-08-22,7,2
2022-08-25,6,2
2022-09-08,2,2
2022-09-09,1,1
2022-09-12,2,2
2022-09-13,1,1
2022-09-16,2,1
2022-09-20,1,1
2022-10-05,19,1
2022-10-17,1,1
2022-10-18,24,4
2022-10-20,5,5
2022-11-01,3,1
2022-11-15,1,1
