_date,total_views,unique_views
2022-06-22,5,2
2022-06-23,42,5
2022-06-24,6,2
2022-06-28,13,5
2022-06-29,29,6
2022-06-30,163,8
2022-07-01,1,1
2022-07-04,96,3
2022-07-05,14,1
2022-07-06,38,6
2022-07-07,1,1
2022-07-11,5,1
2022-07-12,16,4
2022-07-13,1,1
2022-07-14,3,1
2022-07-18,1,1
2022-07-19,44,4
2022-07-20,27,7
2022-07-21,39,4
2022-07-22,9,2
2022-07-23,1,1
2022-07-26,1,1
2022-07-27,22,4
2022-07-28,3,3
2022-07-29,5,1
2022-08-01,1,1
2022-08-03,4,3
2022-08-04,4,2
2022-08-06,1,1
2022-08-08,4,3
2022-08-11,4,2
2022-08-12,9,2
2022-08-17,3,2
2022-08-18,1,1
2022-08-19,1,1
2022-08-21,1,1
2022-08-24,1,1
2022-08-29,1,1
2022-09-01,16,3
2022-09-02,1,1
2022-09-04,1,1
2022-09-06,6,2
2022-09-09,1,1
2022-09-20,3,2
2022-10-03,1,1
2022-10-06,1,1
2022-10-10,2,2
2022-10-11,1,1
2022-10-17,1,1
2022-10-18,9,2
2022-10-25,4,1
2022-10-30,1,1
2022-10-31,55,2
2022-11-01,6,4
2022-11-03,8,2
2022-11-04,1,1
2022-11-07,5,1
2022-11-08,1,1
2022-11-09,24,3
2022-11-10,4,1
2022-11-11,14,2
2022-11-14,4,2
2022-11-15,7,5
2022-11-16,2,1
2022-11-17,33,7
2022-11-21,1,1
2022-11-22,4,3
2022-11-24,4,4
2022-11-29,136,4
2022-11-30,20,5
2022-12-01,32,6
2022-12-02,6,5
2022-12-03,1,1
2022-12-04,99,1
2022-12-05,80,4
2022-12-06,64,8
2022-12-07,5,3
2022-12-08,11,4
2022-12-09,1,1
2022-12-11,1,1
2022-12-12,6,1
2022-12-14,5,1
2022-12-17,1,1
2022-12-18,1,1
2022-12-19,10,1
2022-12-21,2,2
2022-12-28,4,2
2022-12-29,2,2
2023-01-05,25,3
2023-01-06,6,4
2023-01-08,1,1
2023-01-09,2,1
2023-01-10,1,1
2023-01-11,1,1
2023-01-12,5,3
2023-01-14,3,1
2023-01-15,2,2
2023-08-07,1,1
2023-08-08,2,2
2023-08-10,1,1
2023-08-16,60,1
2023-08-17,3,2
2023-08-18,9,1
2023-08-24,1,1
2023-08-27,1,1
2023-08-29,2,2
2023-08-30,1,1
2023-09-01,1,1
2023-09-05,8,3
2023-09-06,24,1
2023-09-07,1,1
2023-09-11,1,1
2023-09-12,21,1
2023-09-14,2,1
2023-09-15,1,1
2023-09-16,24,23
2023-09-17,1,1
