_date,total_views,unique_views
2020-11-18,1,1
2020-11-25,1,1
2020-12-02,1,1
2020-12-04,3,2
2020-12-17,2,2
2020-12-31,1,1
2021-01-08,1,1
2021-01-27,4,1
2021-01-28,1,1
2021-02-21,1,1
2021-03-05,6,1
2021-03-22,31,1
2021-03-23,21,2
2021-03-24,26,2
2021-04-13,1,1
2021-04-19,25,3
2021-04-20,3,1
2021-04-22,4,1
2021-04-23,12,3
2021-04-28,9,2
2021-05-03,1,1
2021-05-04,2,1
2021-05-18,1,1
2021-05-20,42,2
2021-05-24,1,1
2021-05-25,3,1
2021-05-26,31,2
2021-05-27,2,1
2021-06-01,1,1
2021-06-04,2,2
2021-06-07,1,1
2021-06-09,1,1
2021-06-10,1,1
2021-06-15,1,1
2021-06-16,3,1
2021-06-17,2,1
2021-06-18,1,1
2021-06-19,3,1
2021-06-20,1,1
2021-06-22,5,2
2021-06-23,1,1
2021-06-24,1,1
2021-06-29,3,1
2021-07-06,1,1
2021-07-28,4,1
2021-08-06,1,1
2021-08-10,7,1
2021-08-11,10,2
2021-08-12,1,1
2021-08-17,1,1
