_date,total_views,unique_views
2022-06-22,4,1
2022-06-23,22,1
2022-06-24,53,3
2022-06-27,96,6
2022-06-28,79,5
2022-06-29,146,7
2022-06-30,22,5
2022-07-01,32,1
2022-07-04,12,2
2022-07-05,21,2
2022-07-06,114,3
2022-07-07,73,6
2022-07-08,51,4
2022-07-09,3,1
2022-07-10,104,4
2022-07-11,426,51
2022-07-12,390,29
2022-07-13,387,27
2022-07-14,375,25
2022-07-15,265,25
2022-07-16,3,3
2022-07-17,3,2
2022-07-18,38,7
2022-07-19,23,6
2022-07-20,12,3
2022-07-21,14,5
2022-07-22,7,2
2022-07-23,9,3
2022-07-24,1,1
2022-07-25,2,2
2022-07-27,4,2
2022-07-28,4,3
2022-07-29,3,1
2022-07-31,1,1
2022-08-01,3,2
2022-08-02,5,4
2022-08-03,2,1
2022-08-05,2,1
2022-08-06,1,1
2022-08-07,1,1
2022-08-09,1,1
2022-08-10,10,2
2022-08-12,3,3
2022-08-14,2,1
2022-08-16,5,1
2022-08-17,1,1
2022-08-18,1,1
2022-08-22,2,1
2022-08-25,3,1
2022-08-26,5,3
2022-08-29,3,3
2022-08-30,2,2
2022-08-31,7,1
2022-09-01,14,1
2022-09-02,1,1
2022-09-05,2,1
2022-09-06,2,1
2022-09-07,1,1
2022-09-08,1,1
2022-09-12,3,3
2022-09-15,2,1
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,4,4
2022-09-23,3,1
2022-09-26,2,2
2022-09-27,3,1
2022-10-12,1,1
2022-10-13,18,3
2022-10-14,7,2
2022-10-15,2,1
2022-10-17,4,2
2022-10-18,2,1
2022-10-19,8,3
2022-10-20,36,3
2022-10-21,14,3
2022-10-22,2,1
2022-10-23,2,1
2022-10-24,2,2
2022-10-25,2,2
2022-10-31,5,1
2022-11-01,4,2
2022-11-03,1,1
2022-11-04,2,1
2022-11-07,1,1
2022-11-08,4,1
2022-11-09,1,1
2022-11-11,3,1
2022-11-16,4,1
2022-11-17,16,4
2022-11-18,6,1
2022-11-19,2,1
2022-11-23,2,1
2022-11-24,2,1
2022-11-28,2,1
2022-12-05,1,1
2022-12-06,2,1
2022-12-12,1,1
