_date,total_views,unique_views
2021-12-20,11,1
2021-12-21,87,1
2021-12-22,10,1
2021-12-23,4,1
2021-12-24,3,1
2021-12-25,3,1
2021-12-29,11,2
2021-12-30,4,2
2021-12-31,2,1
2022-01-02,2,1
2022-01-04,20,1
2022-01-05,105,2
2022-01-06,2,1
2022-01-07,11,1
2022-01-08,2,1
2022-01-10,21,2
2022-01-11,71,3
2022-01-12,36,2
2022-01-13,34,4
2022-01-14,15,2
2022-01-15,1,1
2022-01-16,1,1
2022-01-17,9,1
2022-01-18,9,3
2022-01-19,7,2
2022-01-20,17,1
2022-01-21,4,2
2022-01-22,1,1
2022-01-24,50,12
2022-01-25,25,5
2022-01-26,10,3
2022-01-27,31,7
2022-01-28,3,1
2022-01-29,3,2
2022-01-30,2,2
2022-01-31,4,3
2022-02-01,15,3
2022-02-02,5,2
2022-02-03,5,4
2022-02-04,3,1
2022-02-05,2,1
2022-02-06,1,1
2022-02-08,72,4
2022-02-09,10,2
2022-02-10,11,1
2022-02-11,2,2
2022-02-13,1,1
2022-02-14,1,1
2022-02-15,3,2
2022-02-16,1,1
2022-02-17,1,1
2022-02-18,1,1
2022-02-19,1,1
2022-02-20,1,1
2022-02-21,5,1
2022-02-22,1,1
2022-02-23,3,1
2022-02-25,3,3
2022-02-26,7,3
2022-02-27,1,1
2022-02-28,5,2
2022-03-01,9,3
2022-03-02,3,3
2022-03-06,3,1
2022-03-07,2,1
2022-03-08,1,1
2022-03-12,2,1
2022-03-14,9,1
2022-03-16,2,1
2022-03-17,2,1
2022-03-20,3,2
2022-03-21,1,1
2022-03-22,13,6
2022-03-24,3,1
2022-03-29,1,1
2022-03-30,1,1
2022-04-03,1,1
2022-04-04,1,1
2022-04-05,1,1
2022-04-06,4,2
2022-04-07,4,2
2022-04-09,1,1
2022-04-10,1,1
2022-04-11,2,1
