_date,total_views,unique_views
2020-12-01,139,3
2020-12-02,202,76
2020-12-03,11,3
2020-12-04,7,2
2020-12-05,4,1
2020-12-06,4,1
2020-12-07,2,2
2020-12-08,4,1
2020-12-09,7,2
2020-12-11,3,1
2020-12-12,9,1
2020-12-15,9,1
2020-12-16,1,1
2021-01-04,1,1
2021-01-05,21,1
2021-01-12,7,2
2021-01-13,1,1
2021-01-19,1,1
2021-01-21,1,1
2021-01-22,1,1
2021-01-26,1,1
2021-02-02,5,1
2021-02-09,4,2
2021-02-10,4,1
2021-02-11,2,1
2021-02-23,39,3
2021-02-24,6,1
2021-03-04,9,2
2021-03-21,1,1
2021-03-30,16,1
2021-03-31,13,2
2021-04-06,41,1
2021-04-15,2,1
2021-04-24,1,1
2021-05-01,11,1
