_date,total_views,unique_views
2021-05-21,155,4
2021-05-23,92,2
2021-05-24,27,4
2021-05-25,21,6
2021-05-26,24,4
2021-05-28,1,1
2021-05-29,1,1
2021-05-31,1,1
2021-06-02,8,2
2021-06-03,11,3
2021-06-04,2,1
2021-06-08,7,1
2021-06-14,1,1
2021-06-15,4,1
2021-06-16,5,1
2021-06-18,14,3
2021-06-21,2,2
2021-06-22,2,2
2021-06-24,1,1
2021-07-01,3,1
2021-07-06,6,1
2021-07-08,2,2
2021-07-09,10,1
2021-07-11,4,1
2021-07-12,1,1
2021-07-13,3,1
2021-07-14,8,1
2021-07-15,5,2
2021-07-16,1,1
2021-07-18,1,1
2021-07-19,13,4
2021-07-22,13,1
2021-07-23,11,2
2021-07-24,3,1
2021-07-25,11,2
2021-07-26,1,1
2021-07-27,2,1
2021-07-28,6,2
2021-07-29,4,1
2021-07-30,97,19
2021-08-01,3,2
2021-08-02,1,1
2021-08-03,3,1
2021-08-04,4,2
2021-08-06,1,1
2021-08-09,6,3
2021-08-13,1,1
2021-08-14,10,2
2021-08-15,2,1
