_date,total_views,unique_views
2021-10-07,2,1
2021-10-11,88,1
2021-10-12,11,1
2021-10-13,6,1
2021-10-15,179,1
2021-10-16,13,12
2021-10-17,5,4
2021-10-18,4,1
2021-10-19,3,1
2021-10-21,29,2
2021-10-22,25,1
2021-10-24,14,1
2021-10-25,5,1
2021-10-27,4,2
2021-10-28,3,3
2021-10-29,3,3
2021-10-31,1,1
2021-11-02,2,1
2021-11-08,9,1
2021-11-10,1,1
2021-11-19,1,1
2021-11-30,4,1
2021-12-01,15,3
2021-12-02,2,1
2021-12-03,1,1
2021-12-07,2,1
2021-12-16,1,1
2021-12-17,1,1
2021-12-20,1,1
2021-12-22,1,1
2022-01-06,78,11
2022-01-07,24,6
2022-01-08,1,1
2022-01-10,7,3
2022-01-13,6,4
2022-01-15,1,1
2022-01-16,1,1
2022-01-17,1,1
2022-01-18,1,1
2022-01-20,2,1
2022-01-21,9,4
2022-01-25,14,1
2022-01-26,3,2
2022-01-28,3,1
2022-02-01,9,1
2022-02-03,24,2
2022-02-08,1,1
2022-02-09,1,1
2022-02-13,1,1
2022-02-26,8,1
2022-03-01,1,1
2022-03-02,1,1
2022-03-04,5,1
2022-03-08,7,1
2022-03-10,2,2
2022-03-11,1,1
2022-03-14,1,1
2022-03-18,3,2
2022-03-22,1,1
2022-03-31,1,1
2022-04-05,1,1
2022-04-07,1,1
2022-04-12,9,2
2022-04-19,6,1
2022-04-21,1,1
2022-05-03,1,1
2022-05-04,1,1
2022-05-06,1,1
2022-05-10,1,1
2022-05-16,1,1
2022-05-19,9,2
2022-05-20,1,1
2022-05-26,1,1
2022-06-02,26,3
2022-06-06,4,2
2022-06-07,6,1
2022-06-09,45,2
2022-06-10,1,1
2022-06-14,3,1
2022-06-16,26,2
2022-06-17,1,1
2022-06-24,1,1
2022-06-26,1,1
