_date,total_views,unique_views
2022-04-16,9,1
2022-04-19,7,1
2022-04-20,71,4
2022-04-21,49,8
2022-04-22,5,2
2022-04-25,5,1
2022-04-26,1,1
2022-04-27,3,2
2022-05-13,1,1
2022-05-16,2,1
2022-06-03,4,1
2022-06-14,1,1
2022-06-15,1,1
2022-06-17,2,2
2022-06-18,1,1
2022-06-19,1,1
2022-06-20,1,1
2022-06-23,1,1
2022-06-24,1,1
2022-06-27,4,1
2022-06-30,1,1
2022-07-09,1,1
2022-07-11,1,1
2022-07-12,1,1
2022-07-13,1,1
2022-09-26,2,2
2022-10-12,2,1
2022-10-19,1,1
2022-10-27,3,1
2022-11-11,1,1
2022-11-14,2,1
2022-12-20,1,1
2023-08-08,1,1
2023-09-05,2,2
