_date,total_views,unique_views
2020-11-19,4,2
2020-11-23,1,1
2020-12-01,1,1
2020-12-03,3,1
2020-12-04,4,3
2020-12-06,2,2
2020-12-07,1,1
2020-12-17,2,2
2020-12-18,9,2
2020-12-21,1,1
2021-01-05,1,1
2021-01-11,1,1
2021-01-25,4,2
2021-01-27,1,1
2021-02-03,1,1
2021-02-06,1,1
2021-02-07,1,1
2021-02-11,1,1
2021-03-03,1,1
2021-03-05,2,1
2021-03-11,1,1
2021-03-13,4,1
2021-03-17,5,3
2021-03-22,1,1
2021-03-24,6,1
2021-03-26,2,1
2021-03-27,1,1
2021-03-30,1,1
2021-04-03,1,1
2021-04-15,2,1
2021-04-22,6,4
2021-04-23,7,3
2021-04-29,1,1
2021-05-05,4,1
2021-05-12,4,1
2021-05-13,1,1
2021-05-17,1,1
2021-05-18,2,1
2021-05-21,2,1
2021-05-23,5,1
2021-05-29,8,1
2021-06-01,1,1
2021-06-04,4,2
2021-06-10,1,1
2021-06-17,3,2
2021-06-18,1,1
2021-06-21,1,1
2021-06-23,1,1
2021-06-24,2,2
2021-06-30,1,1
2021-07-08,2,2
2021-07-09,1,1
2021-07-15,13,2
2021-07-22,1,1
2021-07-23,2,1
2021-07-25,1,1
2021-07-26,10,1
2021-07-27,2,1
2021-07-29,1,1
2021-08-02,1,1
2021-08-03,1,1
2021-08-06,1,1
2021-08-11,1,1
2021-08-24,2,1
2021-08-30,1,1
2021-09-04,1,1
2021-09-23,10,1
2021-09-26,8,1
2021-09-28,2,2
2021-09-29,1,1
2021-10-01,2,1
2021-10-04,1,1
2021-10-08,1,1
2021-10-26,3,1
2021-10-29,1,1
2021-11-11,1,1
2021-11-13,1,1
2021-11-15,1,1
2021-11-22,1,1
2021-12-01,1,1
2021-12-03,21,2
2021-12-04,2,1
2021-12-08,1,1
2021-12-14,1,1
2021-12-19,1,1
2021-12-20,1,1
2021-12-21,1,1
2021-12-22,1,1
2021-12-31,5,1
2022-01-06,9,1
2022-01-12,1,1
2022-01-26,1,1
2022-02-01,1,1
2022-02-04,1,1
2022-02-08,1,1
2022-02-16,1,1
