_date,total_views,unique_views
2020-11-13,2,1
2020-11-14,1,1
2020-11-16,3,1
2020-11-17,1,1
2020-11-26,1,1
2020-11-30,2,1
2020-12-01,6,2
2020-12-03,3,1
2020-12-04,3,2
2020-12-07,2,2
2020-12-08,3,2
2020-12-17,2,1
2020-12-18,1,1
2020-12-21,4,1
2021-01-12,2,1
2021-01-18,1,1
2021-01-21,1,1
2021-02-01,1,1
2021-02-03,1,1
2021-02-04,1,1
2021-02-05,2,1
2021-03-02,3,1
2021-03-05,2,2
2021-03-06,2,1
2021-03-22,2,1
2021-03-23,1,1
2021-03-31,5,2
2021-04-04,3,1
2021-04-12,2,1
2021-04-13,1,1
2021-04-23,2,1
2021-04-26,1,1
2021-04-29,4,1
2021-04-30,6,1
2021-05-04,1,1
2021-05-05,1,1
2021-05-07,1,1
2021-05-12,1,1
2021-05-13,1,1
2021-05-16,2,1
2021-05-18,2,1
2021-05-19,2,1
2021-05-20,1,1
2021-05-21,1,1
2021-05-29,4,1
2021-06-04,3,1
2021-06-07,2,1
2021-06-08,2,2
2021-06-20,1,1
2021-06-22,1,1
2021-06-24,1,1
2021-06-28,3,1
2021-06-29,1,1
2021-07-09,2,1
2021-07-14,1,1
2021-07-15,7,2
2021-07-16,3,2
2021-07-22,3,2
2021-07-25,1,1
2021-08-02,2,1
2021-08-06,1,1
2021-08-10,1,1
2021-08-11,2,2
2021-08-12,1,1
2021-08-18,3,2
2021-08-19,1,1
2021-09-09,1,1
2021-09-11,1,1
2021-09-17,1,1
2021-09-23,1,1
2021-09-27,1,1
2021-09-28,1,1
2021-09-29,2,1
2021-10-01,2,1
2021-10-02,21,1
2021-10-03,8,1
2021-10-04,1,1
2021-10-05,11,2
2021-10-06,1,1
2021-10-07,11,1
2021-10-08,3,1
2021-10-09,6,2
2021-10-13,1,1
2021-10-17,2,1
2021-10-21,13,1
2021-10-22,13,1
2021-10-25,26,1
2021-10-26,4,2
2021-10-28,2,1
2021-10-29,1,1
2021-11-02,11,10
2021-11-05,1,1
2021-11-12,2,1
2021-11-14,1,1
2021-11-17,1,1
2021-11-19,1,1
2021-11-20,1,1
2021-11-21,1,1
2021-11-22,2,2
2021-11-24,1,1
2021-11-25,1,1
2021-11-27,2,1
2021-11-28,1,1
2021-12-12,5,1
2021-12-14,1,1
2021-12-19,1,1
2021-12-24,1,1
2022-01-06,1,1
2022-01-11,6,2
2022-01-15,2,1
2022-01-16,1,1
2022-01-25,1,1
2022-02-04,1,1
2022-02-17,1,1
2022-03-04,2,1
2022-03-10,1,1
2022-03-15,3,1
2022-03-22,1,1
2022-03-26,1,1
2022-03-31,1,1
2022-05-01,1,1
2022-05-05,2,1
2022-05-16,9,1
2022-05-18,3,1
2022-06-02,4,1
2022-06-03,1,1
2022-06-06,1,1
