_date,total_views,unique_views
2020-11-12,36,33
2020-11-13,4,3
2020-11-15,8,2
2020-11-16,41,17
2020-11-17,3,1
2020-11-20,1,1
2020-11-21,3,3
2020-11-22,1,1
2020-11-23,2,2
2020-11-24,1,1
2020-11-25,14,2
2020-11-28,2,1
2020-11-30,5,1
2020-12-01,12,2
2020-12-04,10,2
2020-12-06,1,1
2020-12-13,3,2
2020-12-14,1,1
2020-12-16,1,1
2020-12-30,2,1
2021-01-03,1,1
2021-01-06,3,3
2021-01-07,2,1
2021-01-08,3,1
2021-01-11,1,1
2021-01-20,1,1
2021-01-25,1,1
2021-01-26,2,2
2021-01-29,1,1
2021-02-05,1,1
2021-02-06,4,1
2021-02-07,3,1
2021-02-10,1,1
2021-02-11,1,1
2021-02-17,4,1
2021-02-18,1,1
2021-02-23,2,1
2021-03-04,12,3
2021-03-08,1,1
2021-03-11,4,1
2021-03-12,1,1
2021-03-21,2,1
2021-03-23,2,1
2021-03-25,1,1
2021-03-26,2,1
2021-03-29,1,1
2021-03-31,6,1
2021-04-13,1,1
2021-04-14,6,1
2021-04-15,4,1
2021-04-25,2,1
2021-04-26,2,1
2021-05-10,2,1
2021-05-18,2,1
2021-05-19,4,1
2021-05-20,3,2
2021-05-28,1,1
2021-06-09,1,1
2021-06-28,1,1
2021-07-15,1,1
2021-08-09,1,1
2021-08-19,1,1
2021-08-24,1,1
