_date,total_views,unique_views
2021-06-07,8,1
2021-06-08,2,1
2021-06-10,89,1
2021-06-11,3,1
2021-06-14,51,1
2021-06-15,29,1
2021-06-16,11,1
2021-06-17,227,19
2021-06-18,57,14
2021-06-19,12,4
2021-06-20,1,1
2021-06-21,1,1
2021-06-22,91,34
2021-06-23,13,5
2021-06-24,7,5
2021-06-25,12,2
2021-06-26,3,2
2021-06-27,1,1
2021-06-28,1,1
2021-06-29,5,2
2021-06-30,4,2
2021-07-01,1,1
2021-07-02,2,1
2021-07-06,3,1
2021-07-07,4,1
2021-07-08,1,1
2021-07-09,16,2
2021-07-10,1,1
2021-07-11,1,1
2021-07-13,11,2
2021-07-14,36,2
2021-07-15,1,1
2021-07-21,2,1
2021-07-22,1,1
2021-07-26,2,2
2021-07-28,11,1
2021-07-29,2,2
2021-08-01,1,1
2021-08-02,1,1
2021-08-03,7,3
2021-08-04,11,10
2021-08-05,3,3
2021-08-07,4,2
2021-08-09,1,1
2021-08-10,4,1
2021-08-11,1,1
2021-08-12,1,1
2021-08-16,1,1
2021-08-17,3,3
2021-08-19,1,1
2021-08-23,4,2
