_date,total_views,unique_views
2021-09-09,9,4
2021-09-10,9,1
2021-09-13,22,2
2021-09-14,18,2
2021-09-15,25,2
2021-09-16,9,1
2021-09-17,104,4
2021-09-20,2,1
2021-09-21,101,1
2021-09-22,108,4
2021-09-23,3,1
2021-09-27,22,1
2021-09-28,1,1
2021-09-29,4,1
2021-10-01,18,1
2021-10-04,23,4
2021-10-05,125,2
2021-10-06,58,1
2021-10-08,7,2
2021-10-11,8,1
2021-10-12,4,1
2021-10-13,3,1
2021-10-15,3,1
2021-10-18,2,1
2021-10-19,56,2
2021-10-21,31,5
2021-10-22,56,1
2021-10-25,16,2
2021-10-26,2,1
2021-10-27,2,1
2021-10-28,1,1
2021-10-29,4,4
2021-10-31,11,11
2021-11-01,1,1
2021-11-04,9,1
2021-11-07,1,1
