_date,total_views,unique_views
2022-01-07,52,9
2022-01-08,5,1
2022-01-09,5,1
2022-01-10,3,1
2022-01-11,10,1
2022-01-12,10,3
2022-01-13,5,2
2022-01-14,3,2
2022-01-19,2,1
2022-01-24,3,1
2022-01-25,1,1
2022-02-03,18,3
2022-02-17,1,1
2022-03-01,1,1
2022-03-02,2,1
2022-03-04,2,1
2022-03-14,22,3
2022-03-15,2,2
2022-03-17,2,1
2022-03-30,13,2
2022-03-31,1,1
2022-04-14,3,1
2022-04-20,2,1
2022-05-11,5,2
2022-05-13,1,1
2022-05-16,1,1
2022-05-19,4,1
2022-06-01,1,1
2022-06-22,4,1
2022-06-26,3,1
2022-07-01,1,1
2022-07-12,6,2
2022-07-14,38,1
2022-07-16,36,1
2022-07-17,2,1
2022-07-18,1,1
2022-07-19,33,1
2022-07-20,6,1
2022-07-21,2,2
2022-08-04,24,3
2022-08-05,16,1
2022-08-08,2,1
2022-08-16,2,1
2022-08-30,1,1
